"Paper ID","Type","Title","Authors","Year","Date","Venue","Volume","Issue","Pages","DOI","Publisher","Keywords","Abstract"
"P11","Journal Article","Co-Evolving Multi-Agent Transfer Reinforcement Learning via Scenario Independent Representation","Siddiqua, Ayesha; Liu, Siming; Siddika Nipu, Ayesha; Harris, Anthony; Liu, Yan","2024","","IEEE Access","12","","99439-99451","10.1109/ACCESS.2024.3430037","Institute of Electrical and Electronics Engineers Inc.","Deep reinforcement learning; SMAC; StarCraft II; co-evolutionary multi-agent reinforcement learning; curriculum learning; multi-agent system; transfer learning","Multi-Agent Reinforcement Learning (MARL) is extensively utilized for addressing intricate tasks that involve cooperation and competition among agents in Multi-Agent Systems (MAS). However, learning such tasks from scratch is challenging and often unfeasible, especially for MASs with a large number of agents. Hence, leveraging knowledge from prior experiences can effectively expedite the MARL learning process. Prior work has shown that we successfully facilitated transfer learning for MARL by consolidating various state spaces into fixed-size inputs, enabling a single unified deep-learning policy applicable to several scenarios within the StarCraft Multi-Agent Challenge (SMAC) environment. In this study, we expand SMAC to Multi-Player enabled SMAC (MP-SMAC) by enabling the dynamic selection of training opponents and introducing a co-evolving MARL framework, which creates a co-evolutionary arena where multiple policies learn simultaneously. Our arena comprised the simultaneous training of multiple policies in diverse scenarios, pitting them against both static AI opponents and their peers within MP-SMAC. Furthermore, we integrate co-evolution with curriculum transfer learning into Co-MACTRL framework, enabling our MARL policies to systematically acquire knowledge and skills across predetermined scenarios organized by varying difficulty levels, including evolving opponents. The results revealed significant enhancements in MARL learning performance, demonstrating the advantage of leveraging the co-evolving opponents and maneuvering skills obtained from different scenarios. Additionally, the Co-MACTRL learners consistently attained high performance across a range of SMAC scenarios, showcasing the robustness and generalizability of Co-MACTRL."
"P12","Journal Article","Enhancing Autonomous System Security and Resilience With Generative AI: A Comprehensive Survey","Andreoni, Martin; Lunardi, Willian Tessaro; Lawton, George; Thakkar, Shreekant","2024","","IEEE Access","12","","109470-109493","10.1109/ACCESS.2024.3439363","Institute of Electrical and Electronics Engineers Inc.","GenerativeAI; UxV; artificial intelligence; autonomous systems; security","This survey explores the transformative role of Generative Artificial Intelligence (GenAI) in enhancing the trustworthiness, reliability, and security of autonomous systems such as Unmanned Aerial Vehicles (UAVs), self-driving cars, and robotic arms. As edge robots become increasingly integrated into daily life and critical infrastructure, the complexity and connectivity of these systems introduce formidable challenges in ensuring security, resilience, and safety. GenAI advances from mere data interpretation to autonomously generating new data, proving critical in complex, context-aware environments like edge robotics. Our survey delves into the impact of GenAI technologies - including Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), Transformer-based models, and Large Language Models (LLMs) - on cybersecurity, decision-making, and the development of resilient architectures. We categorize existing research to highlight how these technologies address operational challenges and innovate predictive maintenance, anomaly detection, and adaptive threat response. Our comprehensive analysis distinguishes this work from existing reviews by mapping out the applications, challenges, and technological advancements of GenAI and their impact on creating secure frameworks for autonomous systems. We discuss significant challenges and future directions for integrating these technologies within security frameworks to address the evolving landscape of cyber-physical threats, underscoring the potential of GenAI to make autonomous systems more adaptive, secure, and efficient."
"P14","Journal Article","Transforming cybersecurity with agentic AI to combat emerging cyber threats","Kshetri, Nir","2025","2025/7//","Telecommunications Policy","49","6","","10.1016/j.telpol.2025.102976","Elsevier Ltd","","This paper investigates the transformative potential of agentic AI in cybersecurity, specifically addressing how it can enhance practices in response to emerging threats. It aims to explore how agentic AI can transform cybersecurity practices, particularly in addressing new and evolving threats, while also examining the cybersecurity risks associated with its integration. The research explores the possibilities for agentic AI to automate critical tasks within Security Operations Centers (SOCs), such as decision-making, incident response, and threat detection. It also emphasizes the risks associated with AI integration, including the introduction of new vulnerabilities and challenges in managing automated systems, which call for a reassessment of existing cybersecurity frameworks to effectively address these risks."
"P15","Generic","The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges","Bandi, Ajay; Kongari, Bhavani; Naguru, Roshini; Pasnoor, Sahitya; Vilipala, Sri Vidya","2025","2025/9//","Future Internet","17","9","","10.3390/fi17090404","Multidisciplinary Digital Publishing Institute (MDPI)","adaptive ai; agentic ai; ai agents; ai frameworks and architectures; ai systems; chatGPT; ethical ai; goal-directed ai; langchain; metaGPT; multi-agents","Agentic AI systems are a recently emerged and important approach that goes beyond traditional AI, generative AI, and autonomous systems by focusing on autonomy, adaptability, and goal-driven reasoning. This study provides a clear review of agentic AI systems by bringing together their definitions, frameworks, and architectures, and by comparing them with related areas like generative AI, autonomic computing, and multi-agent systems. To do this, we reviewed 143 primary studies on current LLM-based and non-LLM-driven agentic systems and examined how they support planning, memory, reflection, and goal pursuit. Furthermore, we classified architectural models, input–output mechanisms, and applications based on their task domains where agentic AI is applied, supported using tabular summaries that highlight real-world case studies. Evaluation metrics were classified as qualitative and quantitative measures, along with available testing methods of agentic AI systems to check the system’s performance and reliability. This study also highlights the main challenges and limitations of agentic AI, covering technical, architectural, coordination, ethical, and security issues. We organized the conceptual foundations, available tools, architectures, and evaluation metrics in this research, which defines a structured foundation for understanding and advancing agentic AI. These findings aim to help researchers and developers build better, clearer, and more adaptable systems that support responsible deployment in different domains."
"P16","Journal Article","A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey","Diaz-De-Arcaya, Josu; Torre-Bastida, Ana I.; Zárate, Gorka; Miñón, Raúl; Almeida, Aitor","2024","2024/4//","ACM Computing Surveys","56","4","","10.1145/3625289","Association for Computing Machinery","AI; AIOps; ML; MLOps; SLR; architectures; challenges; frameworks; future trends; opportunities; systematic survey","Data science projects represent a greater challenge than software engineering for organizations pursuing their adoption. The diverse stakeholders involved emphasize the need for a collaborative culture in organizations. This article aims to offer joint insights into the role of MLOps and AIOps methodologies for raising the success of data science projects in various fields, ranging from pure research to more traditional industries. We analyze the open issues, opportunities, and future trends organizations face when implementing MLOps and AIOps. Then, the frameworks and architectures that promote these paradigms are presented, as are the different fields in which they are being utilized. This systematic review was conducted using an automated procedure that identified 44,903 records, which were filtered down to 93 studies. These articles are meant to better clarify the problem at hand and highlight the future areas in both research and industry in which MLOPs and AIOps are thriving. Our findings indicate that AIOps flourish in challenging circumstances like those presented by 5G and 6G technologies, whereas MLOps is more prevalent in traditional industrial environments. The use of AIOps in certain stages of the ML lifecycle, such as deployment, remains underrepresented in scientific literature."
"P17","Journal Article","A Review of Trustworthy and Explainable Artificial Intelligence (XAI)","Chamola, Vinay; Hassija, Vikas; Sulthana, A. Razia; Ghosh, Debshishu; Dhingra, Divyansh; Sikdar, Biplab","2023","","IEEE Access","11","","78994-79015","10.1109/ACCESS.2023.3294569","Institute of Electrical and Electronics Engineers Inc.","Artificial intelligence (AI); IoT; autonomous vehicles; eXplainable AI (XAI); healthcare; trustworthy AI (TAI)","The advancement of Artificial Intelligence (AI) technology has accelerated the development of several systems that are elicited from it. This boom has made the systems vulnerable to security attacks and allows considerable bias in order to handle errors in the system. This puts humans at risk and leaves machines, robots, and data defenseless. Trustworthy AI (TAI) guarantees human value and the environment. In this paper, we present a comprehensive review of the state-of-the-art on how to build a Trustworthy and eXplainable AI, taking into account that AI is a black box with little insight into its underlying structure. The paper also discusses various TAI components, their corresponding bias, and inclinations that make the system unreliable. The study also discusses the necessity for TAI in many verticals, including banking, healthcare, autonomous system, and IoT. We unite the ways of building trust in all fragmented areas of data protection, pricing, expense, reliability, assurance, and decision-making processes utilizing TAI in several diverse industries and to differing degrees. It also emphasizes the importance of transparent and post hoc explanation models in the construction of an eXplainable AI and lists the potential drawbacks and pitfalls of building eXplainable AI. Finally, the policies for developing TAI in the autonomous vehicle construction sectors are thoroughly examined and eclectic ways of building a reliable, interpretable, eXplainable, and Trustworthy AI systems are explained to guarantee safe autonomous vehicle systems."
"P18","Journal Article","An architecture for model-based and intelligent automation in DevOps","Eramo, Romina; Said, Bilal; Oriol, Marc; Bruneliere, Hugo; Morales, Sergio","2024","2024/11//","Journal of Systems and Software","217","","","10.1016/j.jss.2024.112180","Elsevier Inc.","Artificial Intelligence; Continuous software engineering; DevOps; Mode-driven engineering; Software architecture","The increasing complexity of modern systems poses numerous challenges at all stages of system development and operation. Continuous software and system engineering processes, e.g., DevOps, are increasingly adopted and spread across organizations. In parallel, many leading companies have begun to apply artificial intelligence (AI) principles and techniques, including Machine Learning (ML), to improve their products. However, there is no holistic approach that can support and enhance the growing challenges of DevOps. In this paper, we propose a software architecture that provides the foundations of a model-based framework for the development of AI-augmented solutions incorporating methods and tools for continuous software and system engineering and validation. The key characteristic of the proposed architecture is that it allows leveraging the advantages of both AI/ML and Model Driven Engineering (MDE) approaches and techniques in a DevOps context. This architecture has been designed, developed and applied in the context of the European large collaborative project named AIDOaRt. In this paper, we also report on the practical evaluation of this architecture. This evaluation is based on a significant set of technical solutions implemented and applied in the context of different real industrial case studies coming from the AIDOaRt project. Moreover, we analyze the collected results and discuss them according to both architectural and technical challenges we intend to tackle with the proposed architecture."
"P19","Journal Article","Agent system mining: Vision, benefits, and challenges","Tour, Andrei; Polyvyanyy, Artem; Kalenkova, Anna","2021","","IEEE Access","9","","99480-99494","10.1109/ACCESS.2021.3095464","Institute of Electrical and Electronics Engineers Inc.","Agent; Agent system mining; Agent-based modeling; Business process; Business process management; Process mining","In the Agent-Based Modeling (ABM) paradigm, an organization is a Multi-Agent System (MAS) composed of autonomous agents inducing business processes. Process Mining automates the creation, update, and analysis of explicit business process models based on event data. Process Mining techniques make simplifying assumptions about the processes discovered from data. However, actual business processes are often more complex than those restricted by Process Mining assumptions. Several Process Mining approaches relax these standard assumptions by discovering more realistic process models. These approaches can discover more realistic process models. However, these models are often difficult to visualize and, consequently, to understand. Many MASs induce processes whose behaviors become more complex with each next embraced time step, while the complexities of these MASs remain constant. Thus, the ABM paradigm can cope naturally with the increasing complexity of the discovered process models. This paper proposes Agent System Mining (ASM) and ASM Framework. ASM combines Process Mining and ABM in the Business Process Management (BPM) context to infer MAS models of operational business processes from real-world event data, while ASM Framework maps ASM activities to different phases of the MAS modeling lifecycle. The paper also discusses the benefits of using ASM and outlines challenges associated with the implementation of the ASM Framework."
"P20","Journal Article","LLM Agentic Workflow for Automated Vulnerability Detection and Remediation in Infrastructure-as-Code","Toprani, Dheer; Madisetti, Vijay K.","2025","","IEEE Access","13","","69175-69181","10.1109/ACCESS.2025.3560911","Institute of Electrical and Electronics Engineers Inc.","CI/CD; Infrastructure-as-code; LLM workflows; large language models; security automation; vulnerability detection","This paper presents a multi-agent, AI-driven strategy employing Large Language Models (LLMs), retrieval-augmented generation, and a continuously updated knowledge base for the detection and remediation of security vulnerabilities win cloud frameworks. By examining Infrastructure as Code (IaC) templates alongside pertinent best-practice snippets, the system discerns context-specific misconfigurations commonly overlooked by static tools, achieving a detection rate of 85% with some occurrences of false positives. Automated remediation guidance, anchored in current security standards, provides actionable solutions that seamlessly integrate into standard continuous integration/continuous development (CI/CD) workflows. Experimental results indicate the solution’s efficacy and scalability, heralding a proactive, context-aware approach to IaC security."
"P21","Journal Article","Small Language Model Agent for the Operations of Continuously Updating ICT Systems","Fukuda, Nobukazu; Nozue, Haruhisa; Oishi, Haruo","2025","","IEEE Access","13","","37522-37533","10.1109/ACCESS.2025.3544637","Institute of Electrical and Electronics Engineers Inc.","AIOps; Communication system operations and management; LLM agent; small language model","The management of ICT systems requires the implementation of appropriate operational procedures that are aligned with the specific system state and adhere to the latest updates and revisions of manuals and policies. The implementation of autonomous system operation has the potential to reduce the time and burden of human endeavors. Large Language Model (LLM) agents are expected to interact with ICT systems and operate them autonomously. However, existing LLM agents presume a sophisticated reasoning capability of API-based proprietary LLMs, which gives rise to concerns regarding operational costs and confidentiality. Therefore, we propose a novel framework for the Small Language Model (SLM) agent that is designed to adapt to a continuously updating environment. The proposed method addresses the limitation of the reasoning performance of the SLM agent using nested thoughts and prompt reconfiguration. In particular, we empirically identify the shortcut reasoning of the SLM agent and put forward an exemplar selection method to address this issue. We extensively evaluate the proposed method using both synthetic and real-world benchmarks and demonstrate that it significantly enhances the performance of the SLM agent with some computational overhead in comparison with the baselines."
"P22","Journal Article","ARM: Autonomous Remediation and Management With LLM Agents for Intent-Driven Control","Avgerinos, Vasilis; Ramantas, Kostas; Alonso, Luis; Verikoukis, Christos","2026","2026/5//","IEEE Internet of Things Journal","13","9","18305-18315","10.1109/JIOT.2025.3648858","Institute of Electrical and Electronics Engineers Inc.","Agentic systems; Kubernetes; artificial intelligence for IT operations (AIOps); autonomous infrastructure management; closed-loop control; edge computing; intent-based networking (IBN); internet of things (IoT) orchestration; large language models (LLMs); service-level agreement (SLA) monitoring","The growing complexity of cloud-native, edge, and internet of things (IoT) infrastructures has made manual configuration, fault remediation, and lifecycle management increasingly unsustainable. Traditional automation techniques—such as rule-based logic or bespoke machine learning pipelines—struggle with adaptability and explainability in dynamic environments. Recent advances in large language models (LLMs), however, have introduced new opportunities for autonomous, intent-driven infrastructure control. In this work, we present a closed-loop framework that integrates LLM agents for automated root cause analysis (RCA) and mitigation of faults within cloud–edge and IoT systems. When service-level agreement (SLA) violations are detected, the agent identifies likely root causes and selects corrective actions—such as pod rescheduling, scaling, or configuration updates—executed via a model context protocol (MCP) server exposing management tool functionalities through an application programming interface (API). This RCA-plus-mitigation loop enables fault handling that is both explainable and adaptive. We evaluate our system on a cluster running synthetic IoT workloads under emulated stressors using a reproducible benchmarking setup. Results show that the agent identifies SLA violations with 52.9% accuracy and mitigates 70.7% of them successfully. Notably, the agent incorporates validation steps to ensure system stability after interventions. These findings highlight the feasibility of LLMs for real-time infrastructure healing and their potential role in future artificial intelligence for IT operations (AIOps) workflows."
