doi_origem,doi_referencia,titulo_referencia,ano_referencia,fontes,n_fontes
10.12688/f1000research.169927.1,10.30574/wjaets.2023.10.2.0294,Adversarial machine learning in cybersecurity: Mitigating evolving threats in AI-powered defense systems.,Dec. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.36948/ijfmr.2025.v07i02.43075,Adversarial Machine Learning Defenses in AI-Enabled Cybersecurity Systems.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.53022/oarjst.2024.11.1.0060,Harnessing adversarial machine learning for advanced threat detection: AI-driven strategies in cybersecurity risk assessment and fraud prevention.,May 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.53762/grjnst.03.02.07,"Adversarial Machine Learning for Cyber security Defense: Detecting Model Evasion, Poisoning Attacks, and Enhancing the Robustness of AI Systems.",Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.62311/nesx/rrv225,Securing AI-driven Infrastructure: Advanced Cybersecurity Frameworks for Cloud and Edge Computing Environments.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1787/cb6d9eca-en,OECD Framework for the Classification of AI systems.,Feb. 2022,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2139/ssrn.3874279,"Analyzing Dilemmas Posed by Artificial Intelligence and 4IR Technologies Requires using all Available Models, Including the Existing International Human Rights Framework and Principles of AI Ethics.",Jul. 2021,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1016/j.iot.2024.101291,The EU’s AI act: A framework for collaborative governance.,Oct. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1126/science.adj1627,An EU landmark for AI governance.,Jun. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s13347-024-00808-x,Reactive Attitudes and AI-Agents – Making Sense of Responsibility and Control Gaps.,Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1787/2448f04b-en,Advancing accountability in AI.,Feb. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.55640/ijiot-05-01-05,AI-Driven Identity and Access Management in Enterprise Systems.,May 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s11023-020-09537-4,Embedding Values in Artificial Intelligence (AI) Systems.,Sep. 2020,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3322640.3326701,AI as a Legal Person.,Jun. 2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.54254/2755-2721/69/20241458,AI and big data in economic regulation: A comparative analysis of China and the United States.,Jul. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3390/smartcities8030080,A Systematic Roadmap for Energy Transition: Bridging Governance and Community Engagement in Ecuador.,May 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1098/rsta.2018.0085,Ethical governance is essential to building trust in robotics and artificial intelligence systems.,Nov. 2018,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjaets.2023.8.1.0042,Agentic AI in the Age of Hyper-Automation.,Feb. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.32996/jcsts.2025.7.2.49,Revolutionizing Financial Management: The Role of Agentic AI in SAP Finance.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s10458-008-9050-0,Industrial deployment of multi-agent technologies: review and selected case studies.,Dec. 2008,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.55927/ijar.v4i1.13682,Understanding the Capabilities and Implications of Agentic AI in Surveillance Systems.,Jan. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.32996/jcsts.2025.7.3.18,Security Implications of Fully Autonomous Process Agents in Enterprise Workflows.,May 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjaets.2022.7.2.0144,Serverless architectures for agentic AI deployment.,Dec. 2022,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.70088/6fmynz86,Future Trends and Technological Innovations of Private AI Deployment.,Sep. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3706598.3713850,"""Who is running it?"" Towards Equitable AI Deployment in Home Care Work",Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjarr.2025.25.3.0751,AI-Powered Cyberattacks: Impacts and Defense Strategies.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjaets.2025.15.1.0504,Generative AI for enhanced cybersecurity: building a zero-trust architecture with agentic AI.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/ijsra.2025.14.3.0645,AI-driven adaptive authentication for zero trust security architectures.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/ijsra.2024.13.2.2583,Zero trust architecture and AI: A synergistic approach to next-generation cybersecurity frameworks.,Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjarr.2025.26.1.1173,Zero trust architecture for AI-powered cloud systems: Securing the future of automated workloads.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/icmcis.2018.8398730,"Towards an active, autonomous and intelligent cyber defense of military systems: The NATO AICA reference architecture",Jun. 2018,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.30574/wjarr.2025.26.1.1081,Securing the cloud with AI: The future of autonomous threat defense.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.21275/sr25417074844,"Adversarial Attacks on Agentic AI Systems: Mechanisms, Impacts, and Defense Strategies.",Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.55041/ijsrem46662,AI Alignment: Ensuring AI Objectives Match Human Values.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3706599.3720158,Users’ Expectations and Practices with Agent Memory.,2025 Apr.,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3706599.3706713,"New Frontiers of Human-centered Explainable AI (HCXAI): Participatory Civic AI, Benchmarking LLMs, XAI Hallucinations, and Responsible AI Audits",Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1016/j.infsof.2023.107197,Transparency and explainability of AI systems: From ethical guidelines to requirements.,Jul. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1016/j.websem.2024.100849,Leveraging Knowledge Graphs for AI System Auditing and Transparency.,Jan. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1609/aies.v7i1.31700,Habemus a Right to an Explanation: so What? - A Framework on Transparency-Explainability Functionality and Tensions in the EU AI Act.,Oct. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.5121/ijdms.2025.17202,"Architecting Intelligent Decentralized Data Systems to Enable Analytics with Entropy-Aware Governance, Quantum Readiness and LLM-Driven Federation.",Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/milcom.2015.7357413,Stealthy attacks meets insider threats: A three-player game model,Dec. 2015,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.32890/aseanli2024.1.5,THE ARTIFICIAL INTELLIGENCE (AI) READINESS IN ASEAN COUNTRIES: THE GOVERNMENT POLICIES AND FRAMEWORKS.,Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1016/j.hlpt.2025.100981,Navigating ASEAN Region Artificial Intelligence (AI) Governance Readiness in Healthcare.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.29121/shodhkosh.v5.i6.2024.4144,ARTIFICIAL INTELLIGENCE (AI) AND CYBERSECURITY LAW: LEGAL ISSUES IN AI-DRIVEN CYBER DEFENSE AND OFFENSE.,Jun. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.6084/m9.figshare.29986882.v4,,Aug. 2025,crossref;opencitations,2
10.12688/f1000research.169927.1,10.1023/a:1010046623013,Reflections on the Nature of Multi-Agent Coordination and Its Implications for an Agent Architecture.,1998,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/sasow.2010.37,An Architecture for Trust-Adaptive Agents,2010,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1007/978-3-642-19050-6_15,Privacy-Aware Identity Lifecycle Management.,2011,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/978-3-642-31128-4_48,ShadowNet: An Active Defense Infrastructure for Insider Cyber Attack Prevention,2012,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/compeng.2012.6242962,"The SHIELD framework: How to control Security, Privacy and Dependability in complex systems",2012,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1057/9781137281661_5,Decentralized Governance of Autonomous AI Agents.,2013,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.15779/z388v90,The Path of Robotics Law.,2015,crossref;opencitations;s2,3
10.12688/f1000research.169927.1,10.1504/ijccbs.2017.084928,Ensuring cyber-security in smart railway surveillance with SHIELD.,2017,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/978-981-10-8642-7_2,Agents and Multi-agent Coordination.,2018,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1177/1541931218621056,Cognitive and Affective Eye Tracking Metrics for Detecting Insider Threat: A Study of Simulated Espionage.,2018,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3390/bdcc3020021,Overoptimization Failures and Specification Gaming in Multi-agent Systems.,2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s11023-019-09508-4,Ethics of AI and Cybersecurity When Sovereignty is at Stake.,2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.24963/ijcai.2019/903,AI in Recruiting. Multi-agent Systems Architecture for Ethical and Legal Auditing.,2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/978-3-030-24299-2_30,Inclusive AI in Recruiting. Multi-agent Systems Architecture for Ethical and Legal Auditing.,2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.1905.13225,Modeling Theory of Mind in Multi-Agent Games Using Adaptive Feedback Control,2019,openalex,1
10.12688/f1000research.169927.1,10.48550/arxiv.1907.00327,Collaboration of AI Agents via Cooperative Multi-Agent Deep Reinforcement Learning,2019,openalex,1
10.12688/f1000research.169927.1,10.1109/bigdia53151.2021.9619656,Blockchain for Distributed Consistency: A Cliquebased Framework for Multi-agent Systems,2021,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1016/j.egyr.2021.10.113,Blockchain Enabled Intelligence of Federated Systems (BELIEFS): An attack-tolerant trustable distributed intelligence paradigm.,2021,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1609/aaai.v35i17.17817,Preventing Repeated Real World AI Failures by Cataloging Incidents: The AI Incident Database.,2021,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/aemcse55572.2022.00036,A cross-layer attack path detection method for smart grid dynamics,2022,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/icassp43922.2022.9746448,Cyber-Threat Propagation over Network-Slicing Architectures,2022,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.48550/arxiv.2309.14365,An In-depth Survey of Large Language Model-based Artificial Intelligence Agents.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2139/ssrn.4617662,Exploring the Synergy of Generative and Distributed AI in Multi-agent Systems.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s10458-022-09590-6,Accountability in multi-agent organizations: from conceptual design to agent programming.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2306.11748,The Manipulation Problem: Conversational AI as a Threat to Epistemic Agency.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/cns59707.2023.10288810,Towards Adaptive Zero Trust Model for Secure AI,2023,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.48550/arxiv.2302.00813,Goal Alignment: A Human-Aware Account of Value Alignment Problem.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2139/ssrn.4528712,On the Governance of Federated Platforms.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2139/ssrn.4494272,Gracenote.ai: Legal Generative AI for Regulatory Compliance.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3594536.3595153,Do agents dream of abiding by the rules?: Learning norms via behavioral exploration and sparse human supervision.,2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1108/intr-01-2022-0042/full/pdf,"AI governance: themes, knowledge gaps and future agendas.",2023,crossref,1
10.12688/f1000research.169927.1,10.1108/intr-01-2022-0042,"AI governance: themes, knowledge gaps and future agendas",2023,s2,1
10.12688/f1000research.169927.1,10.48550/arxiv.2403.14680,"Trust in AI: Progress, Challenges, and Future Directions.",2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/aiiot61789.2024.10578990,Enhancing AI Systems with Agentic Workflows Patterns in Large Language Model,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.48550/arxiv.2411.04468,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/icmnwc63764.2024.10872131,Neuromorphic-Driven Agentic AI for Autonomous Decision-Making Systems,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/icmnwc63764.2024.10872223,Empowering Autonomous Decision-Making Through Quantum Reinforcement Learning and Cognitive Neuromorphic Frameworks,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/ojcoms.2024.3438264,"Trustworthy Federated Learning: A Comprehensive Review, Architecture, Key Challenges, and Future Research Prospects.",2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.38124/ijsrmt.v3i12.408,Analyzing Edge AI Deployment Challenges with in Hybrid IT Systems Utilizing Containerization and Blockchain-Based Data Provenance Solutions.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2410.19749,Using AI Alignment Theory to understand the potential pitfalls of regulatory frameworks.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2412.10807,Towards Action Hijacking of Large Language Model-based Agent.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.55041/ijsrem40091,Securing the Autonomous Future A Comprehensive Analysis of Security Challenges and Mitigation Strategies for AI Agents.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2402.00898,An Early Categorization of Prompt Injection Attacks on Large Language Models.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2410.07283,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems.,2024,crossref;opencitations;s2,3
10.12688/f1000research.169927.1,10.48550/arxiv.2403.02691,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2410.16950,Breaking ReAct Agents: Foot-in-the-Door Attack Will Get You In.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2412.15348,Autonomous Vehicle Security: A Deep Dive into Threat Modeling.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2407.01557,AI Governance and Accountability: An Analysis of Anthropic’s Claude.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2139/ssrn.4840769,Artificial Intelligence (AI) Governance: An Overview.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2412.17114,On the ETHOS of AI Agents: An Ethical Technology and Holistic Oversight System.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3126/amcj.v5i1.75960,Governance Models in Education: Insights for Nepal’s Federal Education System.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/pais62114.2024.10541145,"Centralized and Decentralized Federated Learning in Autonomous Swarm Robots: Approaches, Algorithms, Optimization Criteria and Challenges : The Sixth Edition of International Conference on Pattern Analysis and Intelligent Systems (PAIS’24)",2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.54660/.ijmrge.2024.5.6-1523-1531,Proactive fraud detection: Safeguarding customers with agentic AI.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/iscs61804.2024.10581195,The AI Shield and Red AI Framework: Machine Learning Solutions for Cyber Threat Intelligence(CTI),2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/csitss64042.2024.10816746,AI-Driven Zero Trust Architecture: Enhancing Cyber-Security Resilience.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.18034/ei.v12i1.743,Artificial Intelligence in Zero-Knowledge Proofs: Transforming Privacy in Cryptographic Protocols.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/milcom61039.2024.10773821,Towards Robust and Secure Autonomous Cyber Defense Agents in Coalition Networks,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1109/milcom61039.2024.10773923,Training Autonomous Cyber Defense Agents: Challenges &amp; Opportunities in Military Networks,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.48550/arxiv.2405.17713,AI Alignment with Changing and Influenceable Reward Functions.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/icassp48485.2024.10447575,Analysis of the Memorization and Generalization Capabilities of AI Agents: are Continual Learners Robust?,2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.54941/ahfe1004712,Explainability as a means for transparency? Lay users’ requirements towards transparent AI.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48084/etasr.6911,Unveiling Shadows: Harnessing Artificial Intelligence for Insider Threat Detection.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2409.11363,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2405.12261,EXACT: Towards a platform for empirically benchmarking Machine Learning model explanation methods.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2404.08511,Leveraging Multi-AI Agents for Cross-Domain Knowledge Discovery.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2410.01927,Risk Alignment in Agentic AI Systems.,2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.52202/079017-1997,Expectation Alignment: Handling Reward Misspecification in the Presence of Expectation Mismatch,2024,s2,1
10.12688/f1000research.169927.1,10.2139/ssrn.3897704,"Artificial Intelligence, Trust, and Perceptions of Agency",2024,s2,1
10.12688/f1000research.169927.1,10.1057/s41599-024-04044-8,"Trust in AI: progress, challenges, and future directions",2024,s2,1
10.12688/f1000research.169927.1,10.70777/si.v2i3.15161,"AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges.",2025,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.48550/arxiv.2501.00881,Agentic Systems: A Guide to Transforming Industries with Vertical AI Agents.,2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2503.05748,"Alignment, Agency and Autonomy in Frontier AI: A Systems Engineering Perspective.",2025,crossref;opencitations;s2,3
10.12688/f1000research.169927.1,10.32628/cseit25111249,Understanding Agentic Frameworks in AI Development: A Technical Analysis.,2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2504.01990,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe Systems.",2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/tdsc.2024.3521437,SharHSC: A Sharding-Based Hybrid State Channel to Realize Blockchain Scalability and Security.,2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48550/arxiv.2504.16108,Trusted Identities for AI Agents: Leveraging Telco-Hosted eSIM Infrastructure.,2025,crossref;openalex;opencitations;s2,4
